"","Date","count"
"245","2019-10-13","6"
"246","2019-10-20","7"
"247","2019-10-27","1"
"248","2019-11-03","4"
"249","2019-11-10","5"
"250","2019-11-17","3"
"251","2019-11-24","4"
"252","2019-12-01","5"
"253","2019-12-08","1"
"254","2019-12-15","3"
"255","2019-12-22","1"
"256","2019-12-29","1"
"257","2020-01-05","2"
"258","2020-01-12","12"
"259","2020-01-19","2"
"260","2020-01-26","10"
"261","2020-02-02","2"
"262","2020-02-09","14"
"263","2020-02-16","6"
"264","2020-02-23","6"
"265","2020-03-01","1"
"266","2020-03-08","1"
"267","2020-03-15","5"
"268","2020-03-22","4"
"269","2020-03-29","0"
"270","2020-04-05","2"
"271","2020-04-12","7"
"272","2020-04-19","4"
"273","2020-04-26","7"
"274","2020-05-03","4"
"275","2020-05-10","5"
"276","2020-05-17","2"
"277","2020-05-24","2"
"278","2020-05-31","0"
"279","2020-06-07","13"
"280","2020-06-14","0"
"281","2020-06-21","1"
"282","2020-06-28","3"
"283","2020-07-05","0"
"284","2020-07-12","13"
"285","2020-07-19","4"
"286","2020-07-26","0"
"287","2020-08-02","2"
"288","2020-08-09","10"
"289","2020-08-16","4"
"290","2020-08-23","1"
"291","2020-08-30","5"
"292","2020-09-06","5"
"293","2020-09-13","11"
"294","2020-09-20","0"
"295","2020-09-27","12"
"296","2020-10-04","4"
"297","2020-10-11","13"
"298","2020-10-18","2"
"299","2020-10-25","11"
"300","2020-11-01","2"
"301","2020-11-08","4"
"302","2020-11-15","3"
"303","2020-11-22","12"
"304","2020-11-29","0"
"305","2020-12-06","15"
"306","2020-12-13","3"
"307","2020-12-20","2"
"308","2020-12-27","0"
"309","2021-01-03","1"
"310","2021-01-10","1"
"311","2021-01-17","0"
"312","2021-01-24","10"
"313","2021-01-31","1"
"314","2021-02-07","9"
"315","2021-02-14","3"
"316","2021-02-21","4"
"317","2021-02-28","2"
"318","2021-03-07","11"
"319","2021-03-14","4"
"320","2021-03-21","5"
"321","2021-03-28","3"
"322","2021-04-04","8"
"323","2021-04-11","3"
"324","2021-04-18","12"
"325","2021-04-25","2"
"326","2021-05-02","4"
"327","2021-05-09","0"
"328","2021-05-16","2"
"329","2021-05-23","1"
"330","2021-05-30","0"
"331","2021-06-06","5"
"332","2021-06-13","1"
"333","2021-06-20","0"
"334","2021-06-27","0"
"335","2021-07-04","0"
"336","2021-07-11","4"
"337","2021-07-18","2"
"338","2021-07-25","0"
"339","2021-08-01","0"
"340","2021-08-08","0"
"341","2021-08-15","3"
"342","2021-08-22","0"
"343","2021-08-29","0"
"344","2021-09-05","0"
"345","2021-09-12","5"
"346","2021-09-19","6"
"347","2021-09-26","10"
"348","2021-10-03","4"
"349","2021-10-10","12"
"350","2021-10-17","3"
"351","2021-10-24","7"
"352","2021-10-31","3"
"353","2021-11-07","8"
"354","2021-11-14","5"
"355","2021-11-21","3"
"356","2021-11-28","0"
"357","2021-12-05","8"
"358","2021-12-12","2"
"359","2021-12-19","0"
"360","2021-12-26","0"
"361","2022-01-02","0"
"362","2022-01-09","0"
"363","2022-01-16","0"
"364","2022-01-23","10"
"365","2022-01-30","5"
"366","2022-02-06","17"
"367","2022-02-13","1"
"368","2022-02-20","5"
"369","2022-02-27","5"
"370","2022-03-06","12"
"371","2022-03-13","0"
"372","2022-03-20","4"
"373","2022-03-27","2"
